sample,quantity,point,boot_mean,se,q025,q975,p_le0,n_success,B,seed,n_all32_finite_pooled,ci_method
pooled_25_45,delta_W34_minus_W12,0.0055891641399396,0.00554760043028141,0.00148153555941461,0.00287704212693822,0.00871282906658789,0,500,500,20260905,500,"percentile (q025, q975); se = bootstrap SD; resampling of persons within cohort strata"
pooled_25_45,delta_none_minus_grades,0.00563814027216336,0.00559643996606315,0.00149223180435756,0.00290174690146998,0.00871222418874942,0,500,500,20260905,500,"percentile (q025, q975); se = bootstrap SD; resampling of persons within cohort strata"
pooled_25_45,delta_married_noGrades,-0.0150421532218711,-0.0151576401724763,0.00241335961911844,-0.0200701723127248,-0.0108204943971885,1,500,500,20260905,500,"percentile (q025, q975); se = bootstrap SD; resampling of persons within cohort strata"
pooled_25_45,delta_married_grades,-0.0148462486929759,-0.0149622820293493,0.00239295956384359,-0.0197488793950873,-0.0105383919769555,1,500,500,20260905,500,"percentile (q025, q975); se = bootstrap SD; resampling of persons within cohort strata"
pooled_25_45,mu_W12,0.537076824212844,0.537772498052085,0.0164070925244828,0.509222470855228,0.571588500166745,0,500,500,20260905,500,"percentile (q025, q975); se = bootstrap SD; resampling of persons within cohort strata"
pooled_25_45,mu_W34,0.542665988352784,0.543320098482366,0.0164835147298338,0.513995010586244,0.577780077360037,0,500,500,20260905,500,"percentile (q025, q975); se = bootstrap SD; resampling of persons within cohort strata"
pooled_25_45,naive_mean,0.484460754117135,0.485118705125376,0.016430955273212,0.456352551403562,0.51976065290402,0,500,500,20260905,500,"percentile (q025, q975); se = bootstrap SD; resampling of persons within cohort strata"
pooled_25_45,licensed_mean,0.539871406282814,0.540546298267225,0.0164286558967659,0.511812344114001,0.575090075132818,0,500,500,20260905,500,"percentile (q025, q975); se = bootstrap SD; resampling of persons within cohort strata"
pooled_25_45,unlicensed_mean,0.47707866812766,0.477738333287287,0.0165039855483416,0.448600508571965,0.512305954749682,0,500,500,20260905,500,"percentile (q025, q975); se = bootstrap SD; resampling of persons within cohort strata"
pooled_25_45,rho_between_share,0.438121211446759,0.442505327083275,0.0552672946410876,0.361258295485023,0.581655236592269,0,500,500,20260905,500,"percentile (q025, q975); se = bootstrap SD; resampling of persons within cohort strata"
pooled_25_45,mu_W1,0.540788386386088,0.541513068559422,0.0164102773067238,0.512870091653868,0.575081982014989,0,500,500,20260905,500,"percentile (q025, q975); se = bootstrap SD; resampling of persons within cohort strata"
pooled_25_45,mu_W2,0.5333652620396,0.534031927544747,0.016425710056633,0.505723071100312,0.56748070329128,0,500,500,20260905,500,"percentile (q025, q975); se = bootstrap SD; resampling of persons within cohort strata"
pooled_25_45,mu_W3,0.546426526658251,0.547109508525485,0.0164912871382235,0.517211448823617,0.58082296297522,0,500,500,20260905,500,"percentile (q025, q975); se = bootstrap SD; resampling of persons within cohort strata"
pooled_25_45,mu_W4,0.538905450047316,0.539530688439247,0.0164978181073546,0.510621989861081,0.574011127935878,0,500,500,20260905,500,"percentile (q025, q975); se = bootstrap SD; resampling of persons within cohort strata"
cohort_2007_25_45,delta_none_minus_grades,0.00706716165701316,0.00696485102179514,0.00214857075528198,0.00324764409958638,0.0113982855757287,0,500,500,20260905,500,"percentile (q025, q975); se = bootstrap SD; resampling of persons within cohort strata"
cohort_2007_25_45,delta_married_noGrades,-0.0166175228131162,-0.0166979676483553,0.00340061743049203,-0.0236585637745562,-0.0108105320499183,1,500,500,20260905,500,"percentile (q025, q975); se = bootstrap SD; resampling of persons within cohort strata"
cohort_2007_25_45,delta_married_grades,-0.0165190905200725,-0.0166164533369313,0.00337389653812386,-0.023837970674309,-0.0109003182918037,1,500,500,20260905,500,"percentile (q025, q975); se = bootstrap SD; resampling of persons within cohort strata"
cohort_2007_25_45,mu_none,0.544379271521783,0.543271528373844,0.0194970777761982,0.506289611009409,0.584262772132346,0,500,500,20260905,500,"percentile (q025, q975); se = bootstrap SD; resampling of persons within cohort strata"
cohort_2007_25_45,mu_grades,0.53731210986477,0.536306677352049,0.0195073174345934,0.499231725291322,0.576110564497556,0,500,500,20260905,500,"percentile (q025, q975); se = bootstrap SD; resampling of persons within cohort strata"
cohort_2007_25_32,delta_none_minus_grades,0.00783625989935044,0.00798369664537164,0.00386287819942767,0.00179556878282299,0.0158167505644309,0.002,500,500,20260905,500,"percentile (q025, q975); se = bootstrap SD; resampling of persons within cohort strata"
cohort_2007_25_32,delta_married_noGrades,-0.0213858206691319,-0.0214831724379501,0.00614664416738992,-0.0339794726558253,-0.0107421506787252,1,500,500,20260905,500,"percentile (q025, q975); se = bootstrap SD; resampling of persons within cohort strata"
cohort_2007_25_32,delta_married_grades,-0.0210504531623292,-0.0211226738158812,0.00611669698739545,-0.0338152349263331,-0.0105085863413778,1,500,500,20260905,500,"percentile (q025, q975); se = bootstrap SD; resampling of persons within cohort strata"
cohort_2007_25_32,mu_none,0.544548690064663,0.543808555197828,0.0322197587526011,0.480953086828648,0.61050987209482,0,500,500,20260905,500,"percentile (q025, q975); se = bootstrap SD; resampling of persons within cohort strata"
cohort_2007_25_32,mu_grades,0.536712430165312,0.535824858552457,0.0321736610719572,0.473868578026099,0.602784620268157,0,500,500,20260905,500,"percentile (q025, q975); se = bootstrap SD; resampling of persons within cohort strata"
cohort_2007_25_31,delta_none_minus_grades,0.00788217748246578,0.00803077964510769,0.00411037543661317,0.00134137892264611,0.0166968664283567,0.006,500,500,20260905,500,"percentile (q025, q975); se = bootstrap SD; resampling of persons within cohort strata"
cohort_2007_25_31,delta_married_noGrades,-0.0193722843760981,-0.0192877257271911,0.00629103145257116,-0.0324971466797553,-0.00810914567941211,1,500,500,20260905,500,"percentile (q025, q975); se = bootstrap SD; resampling of persons within cohort strata"
cohort_2007_25_31,delta_married_grades,-0.0189315662669048,-0.0188550386722102,0.00625011191629177,-0.0321705578805109,-0.00798716002569395,1,500,500,20260905,500,"percentile (q025, q975); se = bootstrap SD; resampling of persons within cohort strata"
cohort_2007_25_31,mu_none,0.542162453419569,0.544063868135843,0.0365627171756931,0.471746459831905,0.609797234059407,0,500,500,20260905,500,"percentile (q025, q975); se = bootstrap SD; resampling of persons within cohort strata"
cohort_2007_25_31,mu_grades,0.534280275937103,0.536033088490735,0.0365739268011941,0.466275202003676,0.604715934472096,0,500,500,20260905,500,"percentile (q025, q975); se = bootstrap SD; resampling of persons within cohort strata"
cohort_2011_25_45,delta_none_minus_grades,0.00683517059973204,0.00705546720380139,0.00542644669911745,-0.0022312274262775,0.0186520177912907,0.06,500,500,20260905,500,"percentile (q025, q975); se = bootstrap SD; resampling of persons within cohort strata"
cohort_2011_25_45,delta_married_noGrades,-0.00662581406597984,-0.00702916591854693,0.00543687764529875,-0.0190067442503361,0.00166812604478552,0.928,500,500,20260905,500,"percentile (q025, q975); se = bootstrap SD; resampling of persons within cohort strata"
cohort_2011_25_45,delta_married_grades,-0.00630145358742329,-0.00666620037840381,0.0054276364485035,-0.0189144378059595,0.00222295467448641,0.916,500,500,20260905,500,"percentile (q025, q975); se = bootstrap SD; resampling of persons within cohort strata"
cohort_2011_25_45,mu_none,0.609233271883295,0.612778515047276,0.045212923598357,0.522090287679686,0.701492451503243,0,500,500,20260905,500,"percentile (q025, q975); se = bootstrap SD; resampling of persons within cohort strata"
cohort_2011_25_45,mu_grades,0.602398101283563,0.605723047843475,0.0449174513952983,0.515638199306226,0.693526381610879,0,500,500,20260905,500,"percentile (q025, q975); se = bootstrap SD; resampling of persons within cohort strata"
